employee_id,employee_name,department,month,sales_target,sales_achieved,attendance_rate,performance_score,review_rating
1,Alex Smith,Finance,2025-01,41000,38155,94.9,93.8,4
1,Alex Smith,Finance,2025-02,42000,41810,94,97.3,3
1,Alex Smith,Finance,2025-03,51000,48613,93.8,94.7,4
1,Alex Smith,Finance,2025-04,32000,30607,94.2,95.1,4
2,Casey Thomas,Sales,2025-01,26000,16380,89.6,73.6,2
2,Casey Thomas,Sales,2025-02,23000,17352,89.7,81.1,2
2,Casey Thomas,Sales,2025-03,47000,35956,89.9,81.9,2
2,Casey Thomas,Sales,2025-04,53000,30731,88.1,70,1
3,Cameron Smith,Sales,2025-01,35000,33927,95.6,96.4,5
3,Cameron Smith,Sales,2025-02,48000,49040,95,99.3,4
3,Cameron Smith,Sales,2025-03,25000,22767,97.3,93.6,4
3,Cameron Smith,Sales,2025-04,27000,27282,95,98.6,4
4,Sydney Thomas,Support,2025-01,46000,50474,94.7,103.7,4
4,Sydney Thomas,Support,2025-02,46000,50209,98.1,104.7,5
4,Sydney Thomas,Support,2025-03,44000,48667,98.1,105.6,4
4,Sydney Thomas,Support,2025-04,53000,48465,96.3,93.4,4
5,Quinn Rodriguez,Operations,2025-01,42000,48430,97.5,108.2,5
5,Quinn Rodriguez,Operations,2025-02,50000,54940,97,104.7,5
5,Quinn Rodriguez,Operations,2025-03,20000,19866,99.5,99.4,5
5,Quinn Rodriguez,Operations,2025-04,45000,44611,98.2,98.8,5
6,Quinn Moore,Marketing,2025-01,46000,53090,98.4,108.6,5
6,Quinn Moore,Marketing,2025-02,25000,29799,97.9,110.7,5
6,Quinn Moore,Marketing,2025-03,26000,27882,96.7,103,5
6,Quinn Moore,Marketing,2025-04,55000,62718,98.5,107.8,5
7,Rowan Anderson,Finance,2025-01,29000,24981,94.1,89.3,3
7,Rowan Anderson,Finance,2025-02,27000,23101,92.8,88.5,3
7,Rowan Anderson,Finance,2025-03,27000,21458,92.6,84.7,3
7,Rowan Anderson,Finance,2025-04,27000,20122,91.6,81.4,2
8,Taylor Thomas,Finance,2025-01,27000,16499,88.6,72.1,1
8,Taylor Thomas,Finance,2025-02,35000,21072,89.8,72,1
8,Taylor Thomas,Finance,2025-03,52000,33075,89.8,74.1,1
8,Taylor Thomas,Finance,2025-04,43000,25309,88.7,70.8,2
9,Jordan Brown,Finance,2025-01,51000,50982,95.7,98.3,5
9,Jordan Brown,Finance,2025-02,30000,29579,96.2,97.6,5
9,Jordan Brown,Finance,2025-03,36000,39910,96.5,105.1,4
9,Jordan Brown,Finance,2025-04,33000,33696,95.4,99.4,5
10,Peyton Moore,Finance,2025-01,37000,32832,94.7,91.1,3
10,Peyton Moore,Finance,2025-02,46000,35894,93.7,84.3,3
10,Peyton Moore,Finance,2025-03,44000,40437,92.5,92.1,3
10,Peyton Moore,Finance,2025-04,23000,20344,93.9,90.6,3
11,Jamie Brown,Sales,2025-01,57000,57970,96.5,99.6,4
11,Jamie Brown,Sales,2025-02,29000,30622,94.3,101.1,4
11,Jamie Brown,Sales,2025-03,36000,36104,96.2,98.7,4
11,Jamie Brown,Sales,2025-04,49000,48239,95.6,97.3,4
12,Dakota Davis,Sales,2025-01,39000,37954,95.4,96.6,4
12,Dakota Davis,Sales,2025-02,59000,52624,93.6,91,4
12,Dakota Davis,Sales,2025-03,41000,38533,96.9,95.1,4
12,Dakota Davis,Sales,2025-04,41000,42757,94.3,100.3,4
