sale_id,sale_date,sales_rep,region,product,units_sold,unit_price,revenue,channel
5001,2024-01-01,Olivia Bennett,Central,DataSync Add-on,14,29,406.00,Retail
5002,2024-05-13,Emma Clarke,North,ProSuite Enterprise,14,249,3486.00,Online
5003,2024-06-16,Noah Reed,West,ProSuite Pro,4,99,396.00,Retail
5004,2024-05-19,Ava Coleman,South,DataSync Add-on,16,29,464.00,Retail
5005,2024-03-17,Benjamin Ross,East,ProSuite Pro,20,99,1980.00,Online
5006,2024-09-09,Sophia Hayes,South,ProSuite Pro,5,99,495.00,Online
5007,2024-08-09,Benjamin Ross,North,Analytics Module,10,79,790.00,Retail
5008,2024-06-15,James Blake,South,DataSync Add-on,16,29,464.00,Online
5009,2024-04-18,Emma Clarke,West,Support Plan,11,19,209.00,Retail
5010,2024-09-28,Isabella Cruz,East,Analytics Module,6,79,474.00,Retail
5011,2024-04-10,James Blake,North,Analytics Module,2,79,158.00,Retail
5012,2024-10-11,Noah Reed,South,Support Plan,2,19,38.00,Online
5013,2024-12-30,William Foster,East,Analytics Module,1,79,79.00,Retail
5014,2024-02-20,Liam Turner,East,Analytics Module,19,79,1501.00,Online
5015,2024-05-24,Ava Coleman,West,ProSuite Enterprise,18,249,4482.00,Online
5016,2024-09-21,Emma Clarke,North,Support Plan,8,19,152.00,Retail
5017,2024-01-14,James Blake,West,Support Plan,7,19,133.00,Retail
5018,2024-05-10,Sophia Hayes,Central,ProSuite Pro,20,99,1980.00,Online
5019,2024-02-27,William Foster,South,ProSuite Enterprise,7,249,1743.00,Online
5020,2024-11-02,James Blake,North,DataSync Add-on,11,29,319.00,Retail
5021,2024-06-08,Sophia Hayes,South,ProSuite Basic,20,49,980.00,Retail
5022,2024-10-13,Sophia Hayes,Central,Analytics Module,6,79,474.00,Online
5023,2024-07-03,Benjamin Ross,West,Support Plan,19,19,361.00,Online
5024,2024-08-24,Noah Reed,Central,Analytics Module,4,79,316.00,Retail
5025,2024-12-23,Olivia Bennett,North,Analytics Module,3,79,237.00,Online
5026,2024-12-25,Noah Reed,Central,Support Plan,17,19,323.00,Online
5027,2024-09-01,Liam Turner,South,ProSuite Pro,2,99,198.00,Retail
5028,2024-06-30,Liam Turner,West,ProSuite Enterprise,9,249,2241.00,Online
5029,2024-01-10,James Blake,East,ProSuite Pro,7,99,693.00,Online
5030,2024-11-11,Emma Clarke,East,Support Plan,12,19,228.00,Online
5031,2024-03-16,Noah Reed,Central,DataSync Add-on,18,29,522.00,Online
5032,2024-08-27,Sophia Hayes,North,DataSync Add-on,2,29,58.00,Retail
